n_features,features,condition_no,rsquared,rsquared_adj,pvals,rmse,delta_rmse
1,['grade'],10.398457054048725,0.4951766976660979,0.49514747591718766,[0.0],0.08145720304709997,0.0021754913043353307
2,"['grade', 'lat']",12.119546585458743,0.6330652824013999,0.633022799832274,"[0.0, 0.0]",0.06944725584394129,0.0014287320020998973
3,"['sqft_living', 'grade', 'lat']",23.05942703166772,0.6970922911815054,0.6970396835629049,"[0.0, 0.0, 0.0]",0.06309748107130446,0.0022482294544574734
4,"['sqft_living', 'grade', 'yr_built', 'lat']",25.8503008067417,0.7323112838668063,0.7322492923451527,"[0.0, 0.0, 0.0, 0.0]",0.05931658064081171,0.0014376163532943422
5,"['sqft_living', 'grade', 'yr_built', 'lat', 'view']",25.93765104256654,0.7455791390572543,0.7455054861128083,"[0.0, 0.0, 0.0, 0.0, 3.302006071723784e-180]",0.0578275974000446,0.0011391006450804154
6,"['sqft_living', 'grade', 'yr_built', 'lat', 'waterfront', 'view']",25.9446005024072,0.7514939256921472,0.7514075919000579,"[0.0, 0.0, 0.0, 0.0, 1.4999323877568508e-73, 8.019592966311212e-124]",0.05715135867358018,0.0011050669746757614
7,"['sqft_living', 'grade', 'yr_built', 'lat', 'sqft_living15', 'waterfront', 'view']",28.485566761768716,0.7560650548518684,0.7559661791025958,"[0.0, 0.0, 0.0, 0.0, 8.490848418791226e-63, 7.665457270653326e-76, 1.1759146318135877e-106]",0.05662313572339848,0.0005490308356817062
8,"['sqft_living', 'condition', 'grade', 'yr_built', 'lat', 'sqft_living15', 'waterfront', 'view']",30.552903625847325,0.7598002996544347,0.759689022674161,"[0.0, 7.932724709031568e-55, 0.0, 5.3958714482552054e-241, 0.0, 3.5217135795389534e-66, 2.1689138546111176e-77, 2.5335029920332392e-107]",0.05618779319655097,0.0005221487668984378
9,"['sqft_living', 'floors', 'condition', 'grade', 'yr_built', 'lat', 'sqft_living15', 'waterfront', 'view']",30.781366022906717,0.7641228697545,0.7639999288592583,"[0.0, 2.286352131293902e-63, 2.3232757484381992e-70, 0.0, 3.5278421003544324e-301, 0.0, 1.5922214112658357e-83, 7.397522148013244e-77, 2.218905005453981e-114]",0.05568007599527717,0.0005296896824839678
10,"['bathrooms', 'sqft_living', 'floors', 'condition', 'grade', 'yr_built', 'lat', 'sqft_living15', 'waterfront', 'view']",37.106264379090376,0.7659631889443448,0.7658276458654621,"[1.9659526477243157e-29, 5.3897317368783824e-192, 8.024729646809386e-45, 2.640352548811549e-63, 0.0, 0.0, 0.0, 1.0566619469096609e-88, 6.0021619368980755e-78, 1.0430277399055048e-110]",0.05546239294761819,0.0005383634639981788
11,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'condition', 'grade', 'yr_built', 'lat', 'sqft_living15', 'waterfront', 'view']",42.03735857690249,0.767373232491666,0.7672250248160764,"[1.9571705874681398e-22, 2.1778221039717163e-36, 4.364209074954858e-208, 1.761350620726711e-42, 2.7795490063173725e-66, 0.0, 0.0, 0.0, 7.582783821516294e-85, 3.319515974674874e-74, 3.223474140137781e-103]",0.055295107214049344,0.0005719447955257389
12,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'condition', 'grade', 'yr_built', 'lat', 'sqft_living15', 'sqft_lot15', 'waterfront', 'view']",43.249706390574914,0.7683728993580097,0.7682119037268723,"[2.3959774869485058e-23, 4.77786086782599e-29, 5.3529190705926406e-219, 2.2930223691225265e-27, 1.16077045925816e-68, 0.0, 0.0, 0.0, 2.9077566067357582e-98, 3.268594841566838e-14, 1.9855297346898016e-78, 2.377342485927811e-100]",0.055176227277439094,0.0006453120457280956
13,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'condition', 'grade', 'yr_built', 'yr_renovated', 'lat', 'sqft_living15', 'sqft_lot15', 'waterfront', 'view']",43.25691611519713,0.7690249991973636,0.7688510682124465,"[4.2332191951495267e-22, 1.0272608231280531e-24, 1.030371909723983e-217, 1.373190980880186e-25, 3.459433420085743e-75, 0.0, 1.0694996163995345e-274, 3.600193115972839e-11, 0.0, 2.868658612250349e-101, 2.365775433865501e-15, 1.0056977882841533e-75, 1.5354001219194732e-99]",0.05509849194647395,0.0006601294426909779
14,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'floors', 'condition', 'grade', 'yr_built', 'yr_renovated', 'lat', 'sqft_living15', 'sqft_lot15', 'waterfront', 'view']",61.382917337693286,0.769215028694199,0.7690278616653186,"[6.656508582401485e-22, 2.9545171514764363e-25, 6.5467937701243255e-205, 0.002237951032815362, 1.22060020891283e-26, 2.6812368604434636e-76, 0.0, 1.8223099880278867e-269, 1.892180989118086e-11, 0.0, 5.557096237011122e-102, 1.4572804527915796e-11, 4.225781198106465e-76, 1.5421566183122297e-99]",0.05507579564947056,0.0006135379439864017
15,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'floors', 'condition', 'grade', 'sqft_above', 'yr_built', 'yr_renovated', 'lat', 'sqft_living15', 'sqft_lot15', 'waterfront', 'view']",63.21149436159284,0.7693242562035698,0.7691238033995625,"[7.904829390219449e-23, 1.4138479423339623e-26, 9.399083713104544e-126, 0.0055099190599695366, 3.218895787943788e-14, 2.134984133012824e-77, 0.0, 0.018369447725632718, 5.799293785069347e-271, 2.3352570742093205e-11, 0.0, 1.2411533720270234e-96, 1.3937937921398377e-11, 1.9757945635472998e-76, 2.6585584627253977e-101]",0.05506275444854354,0.000589235987488955
